prediction_source,cod_linha,hour,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
llama_3_3_70b_v2_retry2,602,20,1.4443594659990575,0.5940497076023392,20
llama_3_3_70b_v2_retry2,344,20,1.4421357461377962,3.954574074074074,12
llama_3_3_70b_v2_retry2,304,22,1.439522911268052,3.685117521367521,8
llama_3_3_70b_v2_retry2,881,22,1.4389332051561585,1.4217434764309764,24
llama_3_3_70b_v2_retry2,502,20,1.4372615185949686,2.6683688849277085,15
llama_3_3_70b_v2_retry2,642,23,1.4366218611491308,2.87,5
llama_3_3_70b_v2_retry2,354,18,1.4321479548277767,0.01666666666666668,5
llama_3_3_70b_v2_retry2,405,22,1.4314208614536554,1.6917045454545456,20
llama_3_3_70b_v2_retry2,878,20,1.4251629117327855,0.819989301276066,12
llama_3_3_70b_v2_retry2,312,22,1.425067630013267,0.9541857244607241,20
llama_3_3_70b_v2_retry2,816,20,1.4249723160606744,0.7108749055177628,21
llama_3_3_70b_v2_retry2,804,20,1.421878888513841,0.8185551136980755,33
llama_3_3_70b_v2_retry2,621,21,1.4187025366022221,2.85290404040404,11
llama_3_3_70b_v2_retry2,821,20,1.4180603125347404,0.611694444444445,10
llama_3_3_70b_v2_retry2,260,18,1.4174448263235695,0.5060763888888888,8
llama_3_3_70b_v2_retry2,605,22,1.4155881653843605,2.560383597883598,21
llama_3_3_70b_v2_retry2,646,22,1.4134250171267562,1.5370370370370372,9
llama_3_3_70b_v2_retry2,635,22,1.4123105315995839,0.6389093137254902,8
llama_3_3_70b_v2_retry2,628,22,1.4093004841169736,4.1146666666666665,5
llama_3_3_70b_v2_retry2,633,22,1.4075551925649283,0.1936111111111111,5
llama_3_3_70b_v2_retry2,743,21,1.402170153930464,0.053769841269841225,7
llama_3_3_70b_v2_retry2,213,20,1.4020301506920168,2.7266899585921323,23
llama_3_3_70b_v2_retry2,311,22,1.401978671085887,1.5886730029330571,20
llama_3_3_70b_v2_retry2,217,21,1.3921968077592484,0.9834054834054833,11
llama_3_3_70b_v2_retry2,342,21,1.3918126545128406,2.4880889535301303,13
llama_3_3_70b_v2_retry2,344,22,1.3910673792569075,3.214151002506265,12
llama_3_3_70b_v2_retry2,212,21,1.386701868690496,0.965952380952381,21
llama_3_3_70b_v2_retry2,310,22,1.3745283455010469,11.763113279829618,12
llama_3_3_70b_v2_retry2,656,22,1.3715542935682936,3.4222222222222225,9
llama_3_3_70b_v2_retry2,666,20,1.3705134497922902,0.8450396825396825,21
llama_3_3_70b_v2_retry2,643,20,1.3677448216322645,2.9104166666666664,8
llama_3_3_70b_v2_retry2,675,21,1.3673400302241896,0.9643055555555556,12
llama_3_3_70b_v2_retry2,640,22,1.3652576047508571,10.213888888888889,9
llama_3_3_70b_v2_retry2,144,18,1.3640628444616218,0.44636363636363635,11
llama_3_3_70b_v2_retry2,378,21,1.363105262859246,4.297777777777778,10
llama_3_3_70b_v2_retry2,216,23,1.3590200734715356,0.6638888888888889,7
llama_3_3_70b_v2_retry2,626,20,1.358112792171943,1.2061640211640214,20
llama_3_3_70b_v2_retry2,376,22,1.3505863665830644,2.561111518111518,15
llama_3_3_70b_v2_retry2,501,21,1.3478839574618355,2.5158333333333336,10
llama_3_3_70b_v2_retry2,502,22,1.3478013882754583,5.865079365079366,7
llama_3_3_70b_v2_retry2,397,22,1.3473795430725644,0.44726495726495724,15
llama_3_3_70b_v2_retry2,605,20,1.3458647837687814,1.4334428571428572,25
llama_3_3_70b_v2_retry2,603,22,1.34484334197102,0.5343859649122806,19
llama_3_3_70b_v2_retry2,74,23,1.344711001475656,0.20787098341019908,33
llama_3_3_70b_v2_retry2,334,20,1.3424772842875825,0.7530982905982906,13
llama_3_3_70b_v2_retry2,903,23,1.3412104018819049,1.2403279320987652,12
llama_3_3_70b_v2_retry2,312,23,1.3382218688632654,0.8498148148148148,5
llama_3_3_70b_v2_retry2,616,21,1.3356413384776875,0.9376146384479719,12
llama_3_3_70b_v2_retry2,604,21,1.3341200275999388,3.534722222222222,11
llama_3_3_70b_v2_retry2,618,21,1.3322600179078703,0.9704411764705881,17
llama_3_3_70b_v2_retry2,108,20,1.331243223699742,1.2969065656565657,22
llama_3_3_70b_v2_retry2,619,21,1.3309147993960315,2.216388888888889,10
llama_3_3_70b_v2_retry2,832,21,1.3301720528111989,0.5693398032613719,33
llama_3_3_70b_v2_retry2,28,23,1.3287468271978908,0.43472200122652616,26
llama_3_3_70b_v2_retry2,20,22,1.3268030686979693,0.2520833333333334,6
llama_3_3_70b_v2_retry2,631,20,1.3249993683523864,0.34371527777777783,16
llama_3_3_70b_v2_retry2,682,21,1.3249065260224189,1.0008680555555558,20
llama_3_3_70b_v2_retry2,626,21,1.3237143723779576,0.6158369408369407,22
llama_3_3_70b_v2_retry2,60,23,1.320459363082124,1.2097420634920635,18
llama_3_3_70b_v2_retry2,522,20,1.320011050054226,0.7347222222222222,8
llama_3_3_70b_v2_retry2,21,23,1.3165851127925692,1.4208333333333332,6
llama_3_3_70b_v2_retry2,701,20,1.3128770322124828,1.4368055555555557,9
llama_3_3_70b_v2_retry2,832,20,1.3090185087878508,1.7301346801346802,33
llama_3_3_70b_v2_retry2,604,20,1.3066973804680395,3.8012074521698853,12
llama_3_3_70b_v2_retry2,501,19,1.3040222557274657,5.1625,6
llama_3_3_70b_v2_retry2,213,21,1.302729432467962,0.6118148148148149,15
llama_3_3_70b_v2_retry2,108,21,1.2963668102773716,1.245108024691358,18
llama_3_3_70b_v2_retry2,561,20,1.2949497367451313,1.6790917107583774,18
llama_3_3_70b_v2_retry2,339,23,1.293716744252844,1.045408163265306,7
llama_3_3_70b_v2_retry2,514,19,1.293429857750965,1.5434262916212875,19
llama_3_3_70b_v2_retry2,339,22,1.2870295795115054,2.6958244206773614,10
llama_3_3_70b_v2_retry2,743,19,1.2862395190892433,1.25,10
llama_3_3_70b_v2_retry2,645,22,1.284014323238238,1.2636353615520286,9
llama_3_3_70b_v2_retry2,102,21,1.2833827773539677,0.7875462962962964,12
llama_3_3_70b_v2_retry2,338,22,1.2830761932344932,1.04706510809452,17
llama_3_3_70b_v2_retry2,631,23,1.282430662552758,0.6131944444444447,6
llama_3_3_70b_v2_retry2,26,23,1.2823979550528768,0.1546951143922729,59
llama_3_3_70b_v2_retry2,225,22,1.2810908879138074,0.2347222222222222,12
llama_3_3_70b_v2_retry2,682,20,1.2808218548285408,0.7446969696969696,22
llama_3_3_70b_v2_retry2,660,21,1.2771568964365474,1.4596654647435896,32
